Date,30-year Rate,15-year Rate
1/2/2014,4.53,3.55
1/9/2014,4.51,3.56
1/16/2014,4.41,3.45
1/23/2014,4.39,3.44
1/30/2014,4.32,3.40
2/6/2014,4.23,3.33
2/13/2014,4.28,3.33
2/20/2014,4.33,3.35
2/27/2014,4.37,3.39
3/6/2014,4.28,3.32
3/13/2014,4.37,3.38
3/20/2014,4.32,3.32
3/27/2014,4.40,3.42
4/3/2014,4.41,3.47
4/10/2014,4.34,3.38
4/17/2014,4.27,3.33
4/24/2014,4.33,3.39
5/1/2014,4.29,3.38
5/8/2014,4.21,3.32
5/15/2014,4.20,3.29
5/22/2014,4.14,3.25
5/29/2014,4.12,3.21
6/5/2014,4.14,3.23
6/12/2014,4.20,3.31
6/19/2014,4.17,3.30
6/26/2014,4.14,3.22
7/3/2014,4.12,3.22
7/10/2014,4.15,3.24
7/17/2014,4.13,3.23
7/24/2014,4.13,3.26
7/31/2014,4.12,3.23
8/7/2014,4.14,3.27
8/14/2014,4.12,3.24
8/21/2014,4.10,3.23
8/28/2014,4.10,3.25
9/4/2014,4.10,3.24
9/11/2014,4.12,3.26
9/18/2014,4.23,3.37
9/25/2014,4.20,3.36
10/2/2014,4.19,3.36
10/9/2014,4.12,3.30
10/16/2014,3.97,3.18
10/23/2014,3.92,3.08
10/30/2014,3.98,3.13
11/6/2014,4.02,3.21
11/13/2014,4.01,3.20
11/20/2014,3.99,3.17
11/26/2014,3.97,3.17
12/4/2014,3.89,3.10
12/11/2014,3.93,3.20
12/18/2014,3.80,3.09
12/24/2014,3.83,3.10
12/31/2014,3.87,3.15
1/8/2015,3.73,3.05
1/15/2015,3.66,2.98
1/22/2015,3.63,2.93
1/29/2015,3.66,2.98
2/5/2015,3.59,2.92
2/12/2015,3.69,2.99
2/19/2015,3.76,3.05
2/26/2015,3.80,3.07
3/5/2015,3.75,3.03
3/12/2015,3.86,3.10
3/19/2015,3.78,3.06
3/26/2015,3.69,2.97
4/2/2015,3.70,2.98
4/9/2015,3.66,2.93
4/16/2015,3.67,2.94
4/23/2015,3.65,2.92
4/30/2015,3.68,2.94
5/7/2015,3.80,3.02
5/14/2015,3.85,3.07
5/21/2015,3.84,3.05
5/28/2015,3.87,3.11
6/4/2015,3.87,3.08
6/11/2015,4.04,3.25
6/18/2015,4.00,3.23
6/25/2015,4.02,3.21
7/2/2015,4.08,3.24
7/9/2015,4.04,3.20
7/16/2015,4.09,3.25
7/23/2015,4.04,3.21
7/30/2015,3.98,3.17
8/6/2015,3.91,3.13
8/13/2015,3.94,3.17
8/20/2015,3.93,3.15
8/27/2015,3.84,3.06
9/3/2015,3.89,3.09
9/10/2015,3.90,3.10
9/17/2015,3.91,3.11
9/24/2015,3.86,3.08
10/1/2015,3.85,3.07
10/8/2015,3.76,2.99
10/15/2015,3.82,3.03
10/22/2015,3.79,2.98
10/29/2015,3.76,2.98
11/5/2015,3.87,3.09
11/12/2015,3.98,3.20
11/19/2015,3.97,3.18
11/25/2015,3.95,3.18
12/3/2015,3.93,3.16
12/10/2015,3.95,3.19
12/17/2015,3.97,3.22
12/24/2015,3.96,3.22
12/31/2015,4.01,3.24
1/7/2016,3.97,3.26
1/14/2016,3.92,3.19
1/21/2016,3.81,3.10
1/28/2016,3.79,3.07
2/4/2016,3.72,3.01
2/11/2016,3.65,2.95
2/18/2016,3.65,2.95
2/25/2016,3.62,2.93
3/3/2016,3.64,2.94
3/10/2016,3.68,2.96
3/17/2016,3.73,2.99
3/24/2016,3.71,2.96
3/31/2016,3.71,2.98
4/7/2016,3.59,2.88
4/14/2016,3.58,2.86
4/21/2016,3.59,2.85
4/28/2016,3.66,2.89
5/5/2016,3.61,2.86
5/12/2016,3.57,2.81
5/19/2016,3.58,2.81
5/26/2016,3.64,2.89
6/2/2016,3.66,2.92
6/9/2016,3.60,2.87
6/16/2016,3.54,2.81
6/23/2016,3.56,2.83
6/30/2016,3.48,2.78
7/7/2016,3.41,2.74
7/14/2016,3.42,2.72
7/21/2016,3.45,2.75
7/28/2016,3.48,2.78
8/4/2016,3.43,2.74
8/11/2016,3.45,2.76
8/18/2016,3.43,2.74
8/25/2016,3.43,2.74
9/1/2016,3.46,2.77
9/8/2016,3.44,2.76
9/15/2016,3.5,2.77
9/22/2016,3.48,2.76
9/29/2016,3.42,2.72
10/6/2016,3.42,2.72
10/13/2016,3.47,2.76
10/20/2016,3.52,2.79
10/27/2016,3.47,2.78
11/3/2016,3.54,2.84
11/10/2016,3.57,2.88
11/17/2016,3.94,3.14
11/23/2016,4.03,3.25
12/1/2016,4.08,3.34
12/8/2016,4.13,3.36
12/15/2016,4.16,3.37
12/22/2016,4.3,3.52
12/29/2016,4.32,3.55
1/5/2017,4.20,3.44
1/12/2017,4.12,3.37
1/19/2017,4.09,3.34
1/26/2017,4.19,3.40
2/2/2017,4.19,3.41
2/9/2017,4.17,3.39
2/16/2017,4.15,3.35
2/23/2017,4.16,3.37
3/2/2017,4.10,3.32
3/9/2017,4.21,3.42
3/16/2017,4.30,3.50
3/23/2017,4.23,3.44
3/30/2017,4.14,3.39
4/6/2017,4.10,3.36
4/13/2017,4.08,3.34
4/20/2017,3.97,3.23
4/27/2017,4.03,3.27
5/4/2017,4.02,3.27
5/11/2017,4.05,3.29
5/18/2017,4.02,3.27
5/25/2017,3.95,3.19
6/1/2017,3.94,3.19
6/8/2017,3.89,3.16
6/15/2017,3.91,3.18
6/22/2017,3.90,3.17
6/29/2017,3.88,3.17
7/6/2017,3.96,3.22
7/13/2017,4.03,3.29
7/20/2017,3.96,3.23
7/27/2017,3.92,3.20
8/3/2017,3.93,3.18
8/10/2017,3.90,3.18
8/17/2017,3.89,3.16
8/24/2017,3.86,3.16
8/31/2017,3.82,3.12
9/7/2017,3.78,3.08
9/14/2017,3.78,3.08
9/21/2017,3.83,3.13
9/28/2017,3.83,3.13
10/5/2017,3.85,3.15
10/12/2017,3.91,3.21
10/19/2017,3.88,3.19
10/26/2017,3.94,3.25
11/2/2017,3.94,3.27
11/9/2017,3.90,3.24
11/16/2017,3.95,3.31
11/22/2017,3.92,3.32
11/30/2017,3.90,3.30
12/7/2017,3.94,3.36
12/14/2017,3.93,3.36
12/21/2017,3.94,3.38
12/28/2017,3.99,3.44
